pair,S_bars,T_s_bars,W_pips,is_net,oos_net,oos_dd,oos_trades,oos_tp,oos_stag,oos_scratch,oos_end
EUR_GBP,24,288.0,10.0,-153.1999999999984,-178.50000000000142,-192.90000000000063,50,4,40,5,1
EUR_GBP,24,288.0,5.0,18.99999999999872,-166.69999999999965,-184.49999999999906,37,1,31,4,1
EUR_GBP,24,96.0,15.0,-277.1000000000043,-319.19999999999766,-315.09999999999485,196,18,142,35,1
EUR_GBP,48,,,-13.700000000001435,-224.39999999999947,-224.9999999999977,71,7,63,0,1
EUR_GBP,48,288.0,10.0,-180.2999999999956,-173.10000000000161,-204.60000000000076,50,5,40,4,1
EUR_GBP,48,288.0,5.0,-64.69999999999744,-290.6000000000014,-288.79999999999956,82,7,70,4,1
EUR_GBP,48,96.0,15.0,-495.2000000000004,-236.90000000000222,-238.00000000000108,150,18,82,49,1
EUR_GBP,72,,,-39.80000000000494,-39.90000000000385,-108.900000000003,64,14,49,0,1
EUR_GBP,72,288.0,10.0,-207.0999999999973,-80.10000000000369,-167.30000000000305,81,17,59,4,1
EUR_GBP,72,288.0,5.0,-84.30000000000285,-98.50000000000392,-162.20000000000294,73,14,54,4,1
EUR_GBP,72,96.0,15.0,-521.2000000000065,-188.59999999999735,-211.89999999999435,130,17,37,75,1
EUR_GBP,144,,,-103.60000000000079,-148.80000000000115,-164.29999999999984,39,10,28,0,1
EUR_GBP,144,288.0,10.0,-429.80000000000143,-138.19999999999843,-192.90000000000077,63,15,34,13,1
EUR_GBP,144,288.0,5.0,-145.99999999999744,-148.89999999999944,-164.80000000000112,53,11,31,10,1
EUR_GBP,144,96.0,15.0,-448.3000000000043,-135.30000000000481,-176.40000000000623,128,20,5,102,1
EUR_GBP,288,,,68.99999999999822,-205.50000000000153,-212.30000000000092,29,9,19,0,1
EUR_GBP,288,288.0,10.0,-33.40000000000185,-227.39999999999978,-304.8000000000006,52,14,12,25,1
EUR_GBP,288,288.0,5.0,-62.80000000000018,-264.0000000000013,-286.70000000000164,47,11,15,20,1
EUR_GBP,288,96.0,15.0,-358.9000000000044,-161.50000000000577,-194.0000000000071,124,18,2,103,1
NZD_USD,12,,,13.00000000000523,220.500000000004,-146.60000000000036,187,42,145,0,0
NZD_USD,12,288.0,10.0,-152.79999999999697,227.10000000000804,-146.6000000000003,221,48,164,9,0
NZD_USD,12,288.0,5.0,-49.0999999999959,203.90000000000836,-146.60000000000034,210,43,161,6,0
NZD_USD,12,96.0,15.0,-372.5999999999919,82.90000000000524,-153.00000000000404,237,42,178,17,0
NZD_USD,24,,,1.100000000001593,187.30000000000405,-171.29999999999563,151,53,97,0,1
NZD_USD,24,288.0,10.0,-13.199999999995335,202.90000000000646,-172.59999999999516,178,60,111,6,1
NZD_USD,24,288.0,5.0,-14.299999999997887,206.80000000000646,-172.49999999999565,178,60,111,6,1
NZD_USD,24,96.0,15.0,-359.60000000000105,24.600000000005316,-195.10000000000082,178,52,103,22,1
NZD_USD,48,,,-59.10000000000018,152.70000000000397,-237.5999999999995,115,51,63,0,1
NZD_USD,48,288.0,10.0,-249.90000000000035,172.50000000000384,-237.5999999999995,129,57,67,4,1
NZD_USD,48,288.0,5.0,-61.60000000000153,175.10000000000537,-237.59999999999945,129,57,67,4,1
NZD_USD,48,96.0,15.0,-421.50000000000097,-13.799999999996267,-181.29999999999794,129,45,58,25,1
NZD_USD,72,,,8.900000000002294,55.400000000001,-192.70000000000115,109,54,55,0,0
NZD_USD,72,288.0,10.0,-139.49999999999693,17.900000000000656,-231.50000000000253,122,58,61,3,0
NZD_USD,72,288.0,5.0,13.200000000001957,39.20000000000131,-215.60000000000173,121,58,60,3,0
NZD_USD,72,96.0,15.0,-490.59999999999445,-196.69999999999902,-370.0000000000025,139,45,37,57,0
NZD_USD,144,,,-176.79999999999808,7.49999999999671,-194.00000000000068,66,37,28,0,1
NZD_USD,144,288.0,10.0,-420.7000000000021,30.6999999999953,-195.20000000000064,77,42,30,4,1
NZD_USD,144,288.0,5.0,-227.0999999999947,34.39999999999615,-194.00000000000065,76,42,30,3,1
NZD_USD,144,96.0,15.0,-436.00000000000034,-38.90000000000061,-204.99999999999955,132,47,12,73,0
NZD_USD,288,,,18.50000000000537,-97.30000000000219,-403.300000000002,73,52,20,0,1
NZD_USD,288,288.0,10.0,182.3000000000018,-40.10000000000488,-333.3000000000041,87,55,18,13,1
NZD_USD,288,288.0,5.0,263.8999999999997,-94.60000000000468,-384.40000000000373,84,54,22,7,1
NZD_USD,288,96.0,15.0,-599.6999999999972,-138.20000000000317,-290.600000000005,127,44,9,74,0
